CITY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Los Gatos Town,29792,30123,30443,30722,30976,30970,30984,30914,30222,30222,33415,32571,32213,32216
Loyalton,761,732,722,714,701,704,696,707,702,702,737,753,735,728
Lynwood,69595,69661,70576,71146,71193,71397,70979,70685,69887,69887,66804,64809,63818,63234
Mcfarland,12723,12784,12362,12430,13577,13941,14484,14996,15506,15506,14173,14239,14149,14049
Madera,61603,61907,62382,62749,63230,63690,64187,64941,65860,65860,66522,67529,67594,68079
Malibu,12639,12691,12750,12807,12839,12865,12853,12817,11820,11820,10625,10446,10330,10277
Mammoth Lakes Town,8231,8284,8226,8058,8086,8045,8158,8182,8235,8235,7237,7291,7140,7187
Manhattan Beach,35123,35232,35345,35426,35461,35504,35608,35702,35183,35183,35383,34582,33891,33369
Manteca,67733,69244,70884,71761,73157,75088,76831,79079,83028,83028,84009,86393,88669,91059
Maricopa,1155,1162,1170,1178,1185,1187,1187,1191,1192,1192,1023,1025,1018,1009
Marina,19743,19876,20149,20269,20680,21071,21622,21986,22781,22781,22287,21989,22259,22833
Martinez,36157,36502,36825,37119,37473,38050,38325,38411,38297,38297,37195,36962,36563,36395
Marysville,12094,12097,12113,12154,12165,12154,12193,12351,12476,12476,12851,12704,12631,12674
Maywood,27381,27474,27543,27614,27628,27636,27536,27406,26973,26973,25041,24531,24124,23824
Mendota,11332,11501,11519,11512,11505,11526,11541,11543,11511,11511,12588,12577,12546,12530
Menifee,77929,79665,81026,83045,84522,86411,88057,90104,94756,94756,103228,107130,110378,113433
Menlo Park,32080,32450,32821,33013,33211,33389,33970,34184,34698,34698,33690,32566,31955,31690
Merced,79131,79705,80231,80703,81120,81775,82232,82589,83676,83676,86893,89954,92088,93692
Millbrae,21572,21847,22123,22480,22669,22803,22764,22649,22394,22394,23138,22346,22050,22087
Mill Valley,13921,14064,14157,14307,14379,14377,14351,14287,14259,14259,14201,14142,13928,13792
Milpitas,66729,67124,68862,69944,73560,77485,77829,77874,84196,84196,79792,77403,76882,77321
Mission Viejo,93225,94020,94627,96003,96622,96543,96149,95551,94381,94381,93457,92494,91515,90624
Modesto,203301,204017,205040,206075,207652,209245,211231,213000,215196,215196,218691,218827,218344,218915
Monrovia,36599,36744,36859,36992,37066,37153,37019,36846,36331,36331,38003,37636,37110,36768
Montague,1444,1431,1411,1395,1388,1388,1388,1396,1398,1398,1221,1225,1207,1182
Montclair,36743,37279,37440,37923,38212,38447,38784,39124,40083,40083,37941,38001,37754,37545
Montebello,62490,62903,63123,63279,63322,63379,63134,62823,61954,61954,62433,61175,60356,60015
Monterey,27908,28246,28750,28600,28549,28496,28568,28411,28178,28178,30111,29909,29511,29116
Monterey Park,60218,60460,60645,60796,60832,60908,60830,60668,59669,59669,60898,59596,58580,57877
Monte Sereno,3331,3360,3401,3442,3473,3489,3511,3514,3427,3427,3471,3410,3416,3459
Moorpark,34644,34906,35010,35136,35474,36000,36444,36561,36375,36375,36246,36022,35656,35543
Moraga Town,16057,16308,16476,16753,16993,17220,17441,17600,17783,17783,16880,16854,16680,16547
Moreno Valley,194240,196590,198214,200195,201831,202919,204711,206741,213055,213055,208868,211072,211648,212392
Morgan Hill,38071,38840,39490,41028,42074,42991,44430,44961,45952,45952,45685,45269,44678,44478
Morro Bay,10244,10281,10365,10447,10498,10578,10612,10603,10543,10543,10762,10788,10688,10589
Mountain View,74236,75108,76507,77955,79150,80345,80821,81189,82739,82739,82766,82262,81853,81785
Mount Shasta,3390,3352,3311,3263,3271,3274,3270,3286,3274,3274,3219,3232,3207,3179
Murrieta,104229,105370,106509,107361,108037,109372,111492,112995,116223,116223,111146,112278,112076,111878
Napa,77185,77679,78168,78728,79384,79636,79616,79083,78130,78130,79334,79173,78092,77492
National City,58624,59042,59369,59776,60132,60721,60967,61083,61394,61394,56213,55794,55769,55236
Needles,4836,4875,4896,4908,4928,4949,4967,4987,4976,4976,4928,4909,4863,4824
Nevada City,3080,3103,3095,3095,3070,3153,3145,3136,3148,3148,3148,3165,3145,3224
Newark,42628,43019,43533,44078,44640,45236,45872,47429,49149,49149,47517,46977,46722,46929
Newman,10273,10527,10580,10629,10711,10840,11065,11288,11784,11784,12391,12354,12261,12207
Newport Beach,85329,86073,86522,86877,86688,86585,86510,85740,84534,84534,85164,84404,83446,82637
Norco,27240,27366,27457,27033,26998,26307,26807,26861,26604,26604,25395,24614,24959,25398
Norwalk,105544,105903,105976,106122,106189,106237,105844,105466,103949,103949,102405,100479,99079,98078
Novato,51970,52680,53221,54142,54856,55406,55913,55701,55516,55516,53142,52988,52207,51722
Oakdale,20823,20949,21224,21457,21764,22125,22573,23026,23596,23596,23216,23282,23174,23045
Oakland,391406,396086,401104,406648,412901,418211,420947,424382,433031,433031,440943,436850,434568,436504
Oakley,35666,36596,37177,38142,39118,39708,40665,41618,42543,42543,43480,44193,44932,45761
Oceanside,168079,170008,171590,173175,174318,175189,175451,175884,175742,175742,173965,172916,171408,170020
Ojai,7482,7515,7540,7573,7593,7593,7573,7545,7470,7470,7632,7614,7525,7466
Ontario,164377,165756,166630,167096,168097,170210,172561,175334,185010,185010,175712,178272,180500,182457
Orange,137103,138539,139372,139972,139424,140503,140581,140251,138669,138669,139451,137838,138003,138337
Orange Cove,9750,10190,10205,10215,10220,10258,10272,10293,10273,10273,9645,9629,9568,9497
Orinda,17820,18124,18333,18674,18973,19251,19521,19707,19926,19926,19514,19527,19428,19364
Orland,7384,7452,7397,7442,7486,7489,7523,7622,7827,7827,8327,8324,8202,8132
Oroville,18700,18604,18640,18750,18945,18956,18996,19103,20737,20737,19995,19892,19611,19449
Oxnard,198539,199968,201105,202835,204560,206228,207455,208831,208881,208881,201911,201807,200193,198488
Pacifica,37394,37844,38335,38722,39074,39309,39267,38999,38546,38546,38514,37169,36557,36426
Pacific Grove,15081,15214,15355,15435,15495,15551,15585,15575,15413,15413,15087,15025,14866,14757
Palmdale,152936,153996,154861,156495,156770,156988,156739,156558,155079,155079,168895,165508,162975,161404
Palm Desert,48684,49251,49775,50357,50916,51552,52077,52794,53275,53275,51197,51668,51781,51951
Palm Springs,44781,45225,45716,46158,46634,47111,47577,48048,48518,48518,44660,45107,45128,45218
Palo Alto,64535,65345,66089,66613,66848,66782,67353,66960,65364,65364,68357,66827,66132,65882
Palos Verdes Estates,13435,13480,13508,13541,13548,13555,13536,13462,13273,13273,13311,13025,12799,12646
Paradise Town,26198,26085,26165,26245,26353,26378,26482,26629,4476,4476,4998,6113,7220,8285
Paramount,54104,54329,54580,54854,54914,54971,54789,54621,53955,53955,53572,52445,51599,51072
Parlier,14614,14703,14789,14882,14991,15141,15213,15283,15618,15618,14573,14567,14507,14426
Pasadena,137111,137652,138097,139292,139529,141025,141601,141757,141029,141029,138462,136290,134492,133560
Patterson,20647,20719,20827,20985,21270,21509,21824,22125,22524,22524,23823,24267,24744,25063
Perris,69000,70426,71229,72295,73485,74613,76046,77563,79291,79291,78831,79559,79836,80603
Petaluma,58037,58236,58728,59337,59753,60295,60468,60682,60520,60520,59733,59353,58794,58800
Pico Rivera,62960,63221,63430,63597,63637,63670,63438,63133,62027,62027,61881,60709,59830,59189
Piedmont,10711,10815,10946,11085,11228,11361,11401,11368,11135,11135,11258,11014,10773,10635
Pinole,18377,18528,18701,18880,19057,19232,19330,19333,19250,19250,19005,18873,18642,18481
Pismo Beach,7667,7696,7781,7856,7900,8117,8180,8220,8168,8168,8063,8063,8006,7948
Pittsburg,63522,64546,65523,66646,67974,69260,70798,72000,72588,72588,76354,75926,75528,75803
Placentia,50994,51503,51838,52105,52108,52202,52154,51916,51233,51233,52671,52225,52029,52192
Placerville,10479,10436,10445,10562,10674,10762,10810,11020,11175,11175,10729,10806,10683,10656
Pleasant Hill,33155,33420,33735,34062,34385,34700,34883,34903,34839,34839,34604,34405,34034,33802
Pleasanton,70381,71133,72098,74026,77454,79265,82330,82831,81777,81777,79665,77718,75830,74653
Plymouth,985,979,971,968,965,973,985,995,1076,1076,1079,1094,1104,1131
Point Arena,449,447,448,446,448,448,448,449,449,449,463,464,458,451
Pomona,149107,149693,150453,151072,152225,152407,152445,152468,151691,151691,150984,147109,146333,145502
Porterville,58197,58540,58708,58891,58995,59721,59699,59745,59599,59599,62831,62975,62836,62876
Port Hueneme,21726,21755,21823,22114,22049,22334,22243,22217,21926,21926,21979,21760,21427,21217
Portola,2093,2060,2014,1961,1929,1906,1927,1922,1930,1930,2091,2151,2167,2124
Portola Valley Town,4359,4410,4466,4514,4572,4603,4612,4596,4568,4568,4447,4295,4223,4204
Poway,47951,48622,48997,49377,49649,49877,49915,49802,49323,49323,48788,48526,48267,48051
Rancho Cordova,65067,65970,66725,67722,69389,70640,72162,73398,75087,75087,79628,80828,81618,82605
Rancho Cucamonga,166226,167928,169959,170815,173220,174203,175782,176921,177603,177603,174683,175359,174989,174405
Rancho Mirage,17218,17358,17474,17607,17761,17886,18053,18225,18528,18528,17036,17361,17574,17795
Rancho Palos Verdes,41692,42027,42202,42326,42368,42401,42303,42136,41530,41530,42129,41236,40515,39980
Rancho Santa Margarita,47918,48331,48588,49038,49069,49027,48828,48566,47896,47896,47869,47327,46732,46182
Red Bluff,14086,14060,14056,14022,13987,14097,14167,14265,14539,14539,14667,14588,14519,14413
Redding,89895,90180,90397,90773,91120,90963,91203,91525,92590,92590,93510,93556,92959,92727
Redlands,68807,69320,69637,69800,70209,70625,71027,71342,71513,71513,73235,73306,72886,72556
Redondo Beach,66933,67192,67438,67629,67673,67771,67809,67511,66749,66749,71339,69838,68611,67749
Redwood City,77010,77970,79188,81034,82741,85274,85293,86394,85925,85925,83887,81616,81237,80996
Reedley,24414,24768,24848,25002,25395,25541,25583,25602,25658,25658,25243,25277,25529,25958
Rialto,99329,100563,101278,101547,102031,102485,102896,103234,103526,103526,104077,104235,103853,103391
Richmond,103631,104882,106023,107083,107921,109062,109663,109860,110567,110567,116196,115785,114944,114106
Ridgecrest,27684,27904,28275,28569,28591,28616,28604,28699,28973,28973,28022,28247,28244,28088
Rio Dell,3372,3394,3364,3365,3364,3368,3399,3399,3349,3349,3386,3399,3360,3308
Rio Vista,7383,7443,7549,7712,8005,8280,8598,8952,9718,9718,10008,9993,10023,10145
Ripon,14453,14603,14724,14803,14998,15185,15551,15754,16386,16386,16116,16297,16176,16068
Riverbank,22762,23102,23225,23400,23606,23879,24271,24585,24881,24881,24876,24851,24835,25001
Riverside,305466,309472,312323,315510,317702,320483,323684,326882,331360,331360,315067,313350,318991,318858
Rocklin,57474,58426,58962,59613,60060,60908,62605,64654,68823,68823,71772,72764,73155,73472
Rohnert Park,40855,40990,41070,41325,42104,42293,42570,42697,43291,43291,44467,44548,44374,44546
Rolling Hills,1860,1867,1878,1885,1884,1882,1880,1871,1845,1845,1734,1698,1667,1644
Rolling Hills Estates,8062,8098,8145,8183,8193,8211,8203,8176,8058,8058,8263,8163,8089,8033
Rosemead,53795,54022,54215,54398,54429,54440,54332,54221,54058,54058,51043,50121,49544,49305
Roseville,119916,122725,124432,126769,128397,130018,132708,135077,141500,141500,148516,152575,155940,159135
Ross Town,2423,2442,2452,2473,2485,2482,2472,2464,2451,2451,2341,2330,2301,2290
Sacramento,467286,470902,474226,478214,482762,488133,494127,500777,513624,513624,525528,525502,525297,526384
St. Helena,5824,5859,5882,5921,5946,6026,6103,6152,6102,6102,5419,5368,5290,5272
Salinas,150887,152412,153815,154958,155717,156244,156830,156463,155465,155465,163391,162894,160720,159506
San Anselmo Town,12320,12418,12472,12586,12623,12608,12572,12523,12476,12476,12808,12767,12594,12498
San Bernardino,210637,212159,213161,213789,214222,215325,216036,216902,215784,215784,222090,220691,221111,223728
San Bruno,41145,41558,42126,42593,42992,43243,43196,43207,42807,42807,43746,42275,41579,41327
San Buenaventura (Ventura),107435,108306,109002,109339,109535,109668,109893,110093,109106,109106,110620,110019,108900,109058
San Carlos,28417,28750,29122,29426,29723,29901,29894,30393,30185,30185,30638,29622,29098,28862
San Clemente,63605,64255,64612,64845,64947,65142,65185,64973,64558,64558,64213,63634,62933,62313
Sand City,335,337,340,343,377,378,381,384,399,399,325,329,327,328
San Diego,1305906,1319592,1336776,1355320,1375831,1387323,1402089,1412621,1423851,1423851,1386292,1376142,1387378,1388320
San Dimas,33377,33509,33637,33745,34319,34344,34236,34128,33621,33621,34797,34095,33527,33105
San Fernando,23643,23742,23777,24088,24399,24708,24630,24562,24322,24322,23946,23688,23482,23364
San Francisco,805505,815650,828876,839572,850750,863010,871512,878040,881549,881549,870518,811935,807774,808988
San Gabriel,39647,39810,39944,40033,40053,40089,40276,40262,39899,39899,39464,38667,38067,37732
Sanger,24298,24444,24504,24575,24661,24802,24944,25065,25339,25339,26640,26622,26451,26343
San Jacinto,44417,44953,45364,45829,46231,46645,47319,48088,49215,49215,54197,55328,55447,55440
San Joaquin,3995,3993,3996,4005,4004,4013,4020,4026,4021,4021,3749,3737,3707,3679
San Jose,954940,970369,983530,1001279,1014273,1025980,1030242,1032335,1021795,1021795,1009319,981214,972082,969655
San Juan Bautista,1850,1861,1879,1897,1906,1926,1956,1964,2104,2104,2090,2121,2113,2106
San Juan Capistrano,34483,34862,35096,35525,35779,35935,35941,35882,35911,35911,35159,34918,34775,34754
San Leandro,85119,85921,86976,88074,89195,90538,90706,90418,88815,88815,90724,88373,86521,85784
San Luis Obispo,45156,45346,45728,46236,46478,47016,47313,47344,47459,47459,47191,47905,48494,49244
San Marcos,83926,85001,86816,89423,92372,93199,94932,95614,96664,96664,94849,93263,93895,94188
San Marino,13104,13155,13192,13235,13263,13308,13291,13244,13048,13048,12474,12254,12088,11977
San Mateo,97383,98518,99816,101323,102695,103509,104357,104389,104430,104430,105656,102913,101567,101327
San Pablo,29474,29517,29800,30083,30365,30724,30999,31077,30990,30990,32089,31883,31514,31249
San Rafael,57797,58232,58448,58995,59130,59074,58918,58801,58440,58440,61137,60914,60084,59555
San Ramon,71585,72174,72850,73560,74329,75138,75703,75795,75995,75995,86377,86249,85490,84929
Santa Ana,325327,328227,330550,333716,333431,333417,333765,332627,332318,332318,311244,311166,310648,310539
Santa Barbara,88468,88605,89285,90082,90815,91275,91518,91517,91364,91364,88762,88250,87316,86499
Santa Clara,116761,117836,119337,120486,121967,126024,126429,126709,130365,130365,128588,128496,128859,131062
Santa Clarita,208822,209843,210672,211376,212283,213184,213526,213734,212979,212979,232406,229753,227123,224028
Santa Cruz,60578,61434,61954,62731,63172,64082,64396,64815,64608,64608,62941,55003,61709,61501
Santa Fe Springs,16255,16493,16711,16983,17359,17859,17955,17866,17630,17630,19144,18934,19345,20174
Santa Maria,99689,100293,101116,102057,103021,104462,105811,106298,107263,107263,109782,110106,110088,109987
Santa Monica,89759,90476,91327,92050,92087,92422,92176,91747,90401,90401,92913,91311,90216,89922
Santa Paula,29325,29754,29919,30099,30348,30336,30243,30143,29806,29806,30773,31170,31414,31792
Santa Rosa,175238,176243,177093,178684,180585,181485,181909,181596,176753,176753,177959,177412,176078,175845
Santee,53640,54523,55381,56151,56828,57471,57678,57825,58081,58081,59864,59176,59172,59478
Saratoga,30078,30353,30685,30957,31008,30977,30945,30818,30153,30153,30913,30112,29727,29607
Sausalito,6959,7018,7047,7115,7159,7157,7136,7108,7068,7068,7254,7224,7104,7021
Scotts Valley,11581,11621,11653,11743,11828,11907,11910,11891,11757,11757,12228,12181,12020,11879
Seal Beach,24109,24320,24456,24537,24506,24475,24400,24209,23896,23896,25190,24933,24636,24352
Seaside,33094,33329,33731,33929,33945,34255,34198,33872,33748,33748,32335,32037,31488,31317
Sebastopol,7474,7537,7584,7656,7706,7731,7742,7716,7674,7674,7515,7499,7435,7380
Selma,23459,23570,23886,24259,24325,24440,24683,24695,24825,24825,24672,24636,24527,24467
Shafter,17160,17440,17194,17273,17612,18367,18985,19472,20401,20401,20067,20249,21015,21915
Shasta Lake,10145,10101,10097,10108,10112,10094,10107,10165,10413,10413,10363,10382,10307,10262
Sierra Madre,10917,10959,10995,11028,11056,11065,11022,10968,10793,10793,11236,11007,10833,10713
Signal Hill,11018,11058,11142,11288,11420,11466,11602,11551,11421,11421,11811,11566,11379,11249
Simi Valley,124463,125019,125274,125868,126239,126123,125958,126107,125613,125613,126343,125807,124849,125113
Solana Beach,12898,13013,13112,13219,13283,13374,13400,13377,13296,13296,12927,12820,12721,12675
Soledad,26027,26391,26459,25772,25239,24882,25594,26154,25999,25999,24683,24639,24058,23947
Solvang,5236,5259,5306,5355,5468,5680,5749,5865,5838,5838,6112,6050,5993,5970
Sonoma,10668,10707,10805,10872,10968,11009,11047,11070,11024,11024,10729,10759,10701,10619
Sonora,4899,4867,4819,4814,4807,4812,4820,4835,4864,4864,5001,5019,4968,4917
South El Monte,20100,20187,20261,20341,20351,20688,20818,20865,20574,20574,19553,19419,19254,19032
South Gate,94434,94591,94577,94674,94741,95597,95245,94848,93444,93444,92660,91881,91055,90070
South Lake Tahoe,21410,21376,21292,21360,21512,21722,21761,21943,22197,22197,21304,21447,21234,21079
South Pasadena,25607,25701,25798,25872,25897,25914,25826,25707,25329,25329,26845,26269,25860,25623
South San Francisco,63701,64448,65581,66237,66813,67221,67220,67180,67789,67789,65902,63816,63073,63123
Stanton,37900,38231,38374,38550,38504,38655,38627,38382,38139,38139,38097,38793,39100,38815
Stockton,292888,295363,297045,297493,301062,304550,307158,310143,312697,312697,320976,322004,320831,319543
Suisun City,28098,28267,28463,28670,29064,29265,29362,29477,29663,29663,29478,29261,28939,28743
Sunnyvale,140462,143805,146436,148055,149769,151630,153544,153217,152703,152703,155250,152477,151682,151967
Susanville,17725,17273,16606,15519,15505,15209,14786,15239,15010,15010,16426,15453,13762,12689
Sutter Creek,2519,2501,2479,2469,2480,2503,2533,2572,2622,2622,2656,2701,2707,2718
Taft,9285,9285,8922,8926,8887,9466,9357,9386,9272,9272,7471,7041,6996,6961
Tehachapi,14367,14332,13827,13289,13227,13004,12471,12565,13011,13011,12982,12302,12393,10881
Tehama,419,418,417,415,414,417,418,421,373,373,433,430,428,424
Temecula,100703,102640,104295,106073,108671,111140,112402,113987,114761,114761,110094,111026,110860,110682
Temple City,35556,35721,35860,35910,35922,36059,36250,36152,35811,35811,36383,35726,35213,34854
Thousand Oaks,126732,127325,127657,128224,128636,128632,128480,128229,126813,126813,126824,126118,124529,123463
Tiburon Town,8957,9033,9072,9161,9194,9190,9158,9126,9084,9084,9138,9092,8944,8846
Torrance,145154,145769,146257,146671,146845,146950,146416,145781,143592,143592,146442,143322,140901,139224
Tracy,83620,84302,84727,84872,85713,86953,89181,90701,94740,94740,93620,95564,96783,98010
Trinidad,369,368,363,361,358,357,361,361,355,355,336,334,330,325
Truckee Town,16167,16151,16083,16085,16238,16266,16350,16482,16735,16735,16766,17147,17075,17039
Tulare,59432,59789,60625,60905,61444,61915,62538,63486,65496,65496,69333,70504,70718,71092
Tulelake,1009,1003,993,985,986,987,986,986,978,978,900,900,886,867
Turlock,68848,69251,69719,70261,70868,71776,72578,73241,73631,73631,72747,72236,72192,72100
Tustin,75472,76227,77575,78122,80138,80088,80245,80121,79348,79348,79902,79224,78393,77704
Twentynine Palms,25101,25362,25607,25686,25751,25871,25941,26478,26073,26073,28067,29141,29895,28734
Ukiah,16024,15919,15909,15854,15873,15831,15828,15956,15995,15995,16553,16580,16295,16072
Union City,69630,70597,71642,72552,73481,74343,75465,75227,74107,74107,69927,68125,66463,65414
Upland,73884,74465,74933,75188,75542,75970,76374,76778,77140,77140,79046,79290,79120,78699
Vacaville,92557,93225,93660,94023,95394,96224,97994,99604,100670,100670,102092,101927,101956,102526
Vallejo,116137,116709,117599,118550,119602,120477,120949,121546,121692,121692,125894,124777,123686,122807
Vernon,112,112,113,113,113,113,113,112,110,110,220,215,211,209
Victorville,116278,117891,119831,120697,121087,121442,121725,121988,122385,122385,134638,136078,137430,138869
Villa Park,5830,5882,5913,5940,5933,5928,5907,5867,5790,5790,5827,5761,5703,5664
Visalia,124869,125649,126420,127309,128482,129369,130662,132388,134605,134605,141771,142862,143714,144998
Vista,93401,94355,95307,96211,96999,99623,100746,100740,101638,101638,98508,98942,98881,98344
Walnut,29203,29471,29842,29919,29940,29990,29925,30015,29685,29685,28348,27770,27354,27104
Walnut Creek,64314,64827,65529,66812,67500,68747,69235,69645,70166,70166,70196,70021,69369,69152
Wasco,25683,25845,25471,25909,26201,26161,26322,26855,28710,28710,25376,26222,27088,26917
Waterford,8468,8498,8541,8579,8679,8744,8823,8898,8962,8962,9135,9122,9160,9323
Watsonville,51278,51593,51887,52412,52959,53528,53774,53919,53856,53856,52482,52081,51438,50867
Weed,2981,2980,2938,2884,2712,2542,2643,2705,2725,2725,2856,2795,2737,2574
West Covina,106123,106721,107082,107348,107447,107540,107437,106942,105101,105101,109153,106899,105703,105617
West Hollywood,34359,34501,34631,35101,35475,35856,36510,36796,36475,36475,35646,35002,34591,34349
Westlake Village,8305,8350,8401,8446,8452,8457,8428,8392,8217,8217,7997,7825,7684,7573
Westminster,89772,90710,91223,91624,91555,91582,91510,91176,90643,90643,90871,90297,89497,88729
Westmorland,2234,2253,2255,2256,2263,2258,2267,2272,2254,2254,2015,2006,1991,1981
West Sacramento,48842,49106,49528,49978,51637,52431,52933,53304,53519,53519,53815,53977,54882,55842
Wheatland,3514,3518,3524,3508,3508,3728,3763,3819,3873,3873,3716,3724,3820,4022
Whittier,85319,85633,85968,86326,86482,86705,86600,86326,85098,85098,87081,85847,84940,84143
Wildomar,32416,32908,33230,33639,35111,35317,35920,36697,37229,37229,36913,37138,37057,37087
Williams,5110,5105,5107,5125,5098,5106,5145,5265,5408,5408,5544,5574,5585,5617
Willits,4922,4881,4874,4859,4862,4867,4885,4898,4890,4890,4979,4986,4908,4843
Willows,6148,6138,6084,6064,6064,6011,6018,6005,6072,6072,6273,6280,6226,6160
Windsor Town,26811,26882,26994,27157,27280,27373,27493,27431,27128,27128,26340,26260,26005,25828
Winters,6621,6832,6868,6894,6922,7006,7139,7251,7315,7315,7195,7485,7646,7694
Woodlake,7317,7327,7355,7600,7629,7625,7614,7629,7658,7658,7487,7668,7764,7846
Woodland,55615,55786,56272,56713,57328,58385,59098,59923,60548,60548,60969,61434,61791,61123
Woodside Town,5291,5353,5412,5471,5521,5555,5570,5547,5458,5458,5291,5121,5048,5037
Yorba Linda,64390,65610,66282,66803,67359,67527,68033,67895,67644,67644,68223,67568,66816,66147
Yountville,2927,2938,2944,2954,2971,2992,2992,2977,2966,2966,3428,3410,3373,3356
Yreka,7789,7743,7646,7546,7533,7539,7545,7557,7518,7518,7795,7873,7867,7808
Yuba City,65631,65364,65283,65538,65757,66134,66218,66564,67010,67010,70084,69735,69223,68666
Yucaipa,51474,51954,52280,52546,52730,52981,53186,53496,53921,53921,54589,54574,54217,53947
Yucca Valley Town,20695,20867,20991,21044,21304,21431,21538,21650,21777,21777,21766,21829,21749,21664
